Question	Question_ID	ROBERTA_Prediction	ROBERTA_Model
Which artists were born on the same date as Rachel Stevens?	66	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which country was Bill Gates born in?	68	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Give me all spacecrafts that flew to Mars.	71	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
How many gold medals did Michael Phelps win at the 2008 Olympics?	73	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
When was the De Beers company founded?	78	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Are there any castles in the United States?	79	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Give me a list of all critically endangered birds.	80	2	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Butch Otter is the governor of which U.S. state?	81	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
When was Jack Wolfskin founded?	82	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Give me all gangsters from the prohibition era.	83	3	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which American presidents were in office during the Vietnam War?	84	3	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
What is the highest mountain in Germany?	86	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which book has the most pages?	87	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
What is the wavelength of Indigo?	88	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Is the wife of President Obama called Michelle?	92	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
When did princess Diana die?	94	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Who is the youngest player in the Premier League?	95	3	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which professional surfers were born on the Philippines?	96	3	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Give me the official websites of actors of the television show Charmed.	97	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Who killed Caesar?	98	3	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
What is the time zone of Salt Lake City?	99	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
How many companies were founded by the founder of Facebook?	101	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
When did Dracula's creator die?	102	3	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Where does Piccadilly start?	103	2	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Who is the daughter of Robert Kennedy married to?	104	2	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which countries have more than ten volcanoes?	105	2	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Who was the father of Queen Elizabeth II?	107	2	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
When did Paraguay proclaim its independence?	108	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which movies did Kurosawa direct?	110	3	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
How many awards has Bertrand Russell?	111	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which German cities have more than 250000 inhabitants?	113	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
How big is the earth's diameter?	114	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
How many rivers and lakes are in South Carolina?	115	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Who was called Rodzilla?	116	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Is Pamela Anderson a vegan?	117	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which instruments does Cat Stevens play?	119	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Who is the daughter of Bill Clinton married to?	120	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Who was the wife of President Lincoln?	122	2	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Give me all animals that are extinct.	123	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
When was Carlo Giuliani shot?	124	2	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
How many years was the Ford Model T manufactured?	125	3	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Sean Parnell was the governor of which U.S. state?	126	2	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Who is the author of WikiLeaks?	128	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Who does the voice of Bart Simpson?	129	2	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
What languages are spoken in Pakistan?	131	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
What is Elon Musk famous for?	132	2	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
What are the names of the Teenage Mutant Ninja Turtles?	133	0	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
What is Batman's real name?	134	0	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
When did Michael Jackson die?	135	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
How many moons does Mars have?	136	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Give me all Dutch parties.	137	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Give me the capitals of all countries in Africa.	138	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which professional surfers were born in Australia?	139	3	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
How many scientists graduated from an Ivy League university?	140	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which languages are spoken in Estonia?	141	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
What is the area code of Berlin?	143	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Whom did Lance Bass marry?	144	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Who owns Aldi?	145	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
What is the largest state in the United States?	148	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which U.S. state has the highest population density?	149	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
In which city was the president of Montenegro born?	150	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Give me all B-sides of the Ramones.	151	0	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which beer brewing companies are located in North-Rhine Westphalia?	152	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which books were written by Danielle Steel?	154	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
What is the nick name of Baghdad?	155	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Where is Fort Knox located?	156	0	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Give me English actors starring in Lovesick.	157	0	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Give me all writers that won the Nobel Prize in literature.	158	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which countries are connected by the Rhine?	159	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Who wrote Harry Potter?	160	3	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
How deep is Lake Chiemsee?	162	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Give me all chemical elements.	163	0	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Who was on the Apollo 11 mission?	164	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
What is the name of the university where Obama's wife studied?	165	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which computer scientist won an oscar?	166	0	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which subsidiary of TUI Travel serves both Glasgow and Dublin?	167	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which actors play in Big Bang Theory?	168	0	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Give me all libraries established before 1400.	169	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
When did the Boston Tea Party take place?	171	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
When did Finland join the EU?	173	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Who is the novelist of the work a song of ice and fire?	174	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
When did Muhammad die?	175	3	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Who painted The Storm on the Sea of Galilee?	176	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which bridges are of the same type as the Manhattan Bridge?	177	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
How many James Bond movies do exist?	178	3	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
What were the names of the three ships by Columbus?	179	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Through which countries does the Yenisei river flow?	181	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which animals are critically endangered?	182	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Who was Tom Hanks married to?	183	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Who is the husband of Amanda Palmer?	187	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Give me the homepage of Forbes.	188	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
In which studio did the Beatles record their first album?	189	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Who are the parents of the wife of Juan Carlos I?	190	0	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which museum exhibits The Scream by Munch?	192	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which U.S. state has the abbreviation MN?	194	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which classes does the Millepede belong to?	196	3	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which U.S. state has been admitted latest?	197	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Who was influenced by Socrates?	198	2	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Give me all Argentine films.	199	3	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
What is the founding year of the brewery that produces Pilsner Urquell?	201	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
How did Michael Jackson die?	203	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
What was the name of the famous battle in 1836 in San Antonio?	206	2	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which daughters of British earls died at the same place they were born at?	207	2	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Give me all taikonauts.	209	0	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which monarchs of the United Kingdom were married to a German?	210	3	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Give me all American presidents of the last 20 years.	211	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which companies work in the aerospace industry as well as in medicine?	212	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Show me all Czech movies.	213	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Give me all professional skateboarders from Sweden.	214	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
