Question	Question_ID	ROBERTA_Prediction	ROBERTA_Model
Name the sea with Helsinki as one of the shore city and is also an outflow for Danish straits?	118	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What awards have been won by the executive producer of Timmy Time ?	119	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count all those who've played for the youth club which owns the Rosario, Santa Fe stadium.	122	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count all those who've played for the youth club which owns the Rosario, Santa Fe stadium.	122	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count all those who've played for the youth club which owns the Rosario, Santa Fe stadium.	122	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count all those who've played for the youth club which owns the Rosario, Santa Fe stadium.	122	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What are some families of mammals in the animal kingdom?	123	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
In which time zone is Pong Pha?	133	1	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
In which time zone is Pong Pha?	133	1	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What system is both a platform where Nord runs and also distributed The beauty inside?	146	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What system is both a platform where Nord runs and also distributed The beauty inside?	146	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What system is both a platform where Nord runs and also distributed The beauty inside?	146	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What system is both a platform where Nord runs and also distributed The beauty inside?	146	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who were all the people in office when bob hawke was the PM?	149	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who were all the people in office when bob hawke was the PM?	149	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who were all the people in office when bob hawke was the PM?	149	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who were all the people in office when bob hawke was the PM?	149	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Is Queen Latifah associated with Afrika Baby Bam?	171	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Is Queen Latifah associated with Afrika Baby Bam?	171	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Is Queen Latifah associated with Afrika Baby Bam?	171	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Is Queen Latifah associated with Afrika Baby Bam?	171	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the tenant of Ever bank field which has also has player named Dan Shamash ?	174	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the largest city in the country where the San Marcos River originates?	176	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the largest city in the country where the San Marcos River originates?	176	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the largest city in the country where the San Marcos River originates?	176	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which holy places did consider Pope Gregory I as a saint?	180	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which holy places did consider Pope Gregory I as a saint?	180	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which holy places did consider Pope Gregory I as a saint?	180	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which holy places did consider Pope Gregory I as a saint?	180	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
In which teams have league members of the Czech Extraliga played previously?	182	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count the wars in which people awarded with the Croix de guerre fought.	183	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count the wars in which people awarded with the Croix de guerre fought.	183	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count the wars in which people awarded with the Croix de guerre fought.	183	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What are some famous people out of the Filipinos?	192	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What are some famous people out of the Filipinos?	192	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where did they debut their careers, those who have played for US men's national soccer team?	196	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where did they debut their careers, those who have played for US men's national soccer team?	196	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where did they debut their careers, those who have played for US men's national soccer team?	196	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who were in the youth clubs that were in season of 2015 Argentine Primera Division?	204	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who were in the youth clubs that were in season of 2015 Argentine Primera Division?	204	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who were in the youth clubs that were in season of 2015 Argentine Primera Division?	204	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the name of the movie whose director of photography was Jordan Cronenweth and music composer was Vangelis?	207	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the name of the movie whose director of photography was Jordan Cronenweth and music composer was Vangelis?	207	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the name of the movie whose director of photography was Jordan Cronenweth and music composer was Vangelis?	207	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the name of the movie whose director of photography was Jordan Cronenweth and music composer was Vangelis?	207	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which parent organization of Get TV also owns the Galleria ?	214	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which parent organization of Get TV also owns the Galleria ?	214	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which parent organization of Get TV also owns the Galleria ?	214	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which parent organization of Get TV also owns the Galleria ?	214	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where did Goran Cengic die?	216	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which Fox show is presented by Ryan Seacrest?	230	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which Fox show is presented by Ryan Seacrest?	230	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which Fox show is presented by Ryan Seacrest?	230	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which Fox show is presented by Ryan Seacrest?	230	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What railway lines go through the stations maintained by Western Australian Public Transport Authority?	233	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the major shrine of Jacques-Dsir Laval ?	236	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the major shrine of Jacques-Dsir Laval ?	236	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the major shrine of Jacques-Dsir Laval ?	236	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the major shrine of Jacques-Dsir Laval ?	236	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which predecessor of Alexander Downer was deputy to Neil Brown ?	241	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which predecessor of Alexander Downer was deputy to Neil Brown ?	241	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
To which series does the character of Londo Mollari belong?	244	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count all the scientologists.	245	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count all the scientologists.	245	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count all the scientologists.	245	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count all the scientologists.	245	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the birthplace of Liudmila Privivkova and Qadir Huseynov?	247	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Under which archipelago does Canary Islands fall?	251	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Under which archipelago does Canary Islands fall?	251	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Under which archipelago does Canary Islands fall?	251	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who are the politicians whose death place is Ontario?	254	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who are the politicians whose death place is Ontario?	254	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who are the politicians whose death place is Ontario?	254	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the affiliation of tani University?	270	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the affiliation of tani University?	270	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the affiliation of tani University?	270	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many TV shows have been created by Simon Fuller ?	273	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many TV shows have been created by Simon Fuller ?	273	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many TV shows have been created by Simon Fuller ?	273	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many people are known for Dragons' Den?	276	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many people are known for Dragons' Den?	276	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many people are known for Dragons' Den?	276	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many people are known for Dragons' Den?	276	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Greater Napanee is the home town of what people?	284	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Greater Napanee is the home town of what people?	284	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Greater Napanee is the home town of what people?	284	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Is Bacillus belong to the domain Bacteria?	291	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Is Bacillus belong to the domain Bacteria?	291	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
For which other teams do members of tanzanian national football team play?	297	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
For which other teams do members of tanzanian national football team play?	297	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
For which other teams do members of tanzanian national football team play?	297	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
For which other teams do members of tanzanian national football team play?	297	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who are the major stockholders of the bank which is the company of Bloomberg Markets?	298	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many maintainers are there of the bridges that can carry motor vehicles over them?	299	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many maintainers are there of the bridges that can carry motor vehicles over them?	299	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many maintainers are there of the bridges that can carry motor vehicles over them?	299	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the place of birth of the stars of Auto Shankar ?	304	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the place of birth of the stars of Auto Shankar ?	304	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the place of birth of the stars of Auto Shankar ?	304	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the constituency of Domenico Modugno?	311	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the constituency of Domenico Modugno?	311	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the constituency of Domenico Modugno?	311	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the constituency of Domenico Modugno?	311	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the movies distributed by RKO Pictures and has music composer as Bernard Herrmann?	326	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the movies distributed by RKO Pictures and has music composer as Bernard Herrmann?	326	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the headquarters of the public transit system which is the section of Red Ahead ?	327	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
With whom is Heinz Kokott a relative to who also served Nazi Army?	331	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
With whom is Heinz Kokott a relative to who also served Nazi Army?	331	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
With whom is Heinz Kokott a relative to who also served Nazi Army?	331	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which television show's network is BBC HD and is related to Doctor Who Confidential?	334	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the office holder with predecessor as Samuel W. McCall and office in Massachusetts House of Representatives?	346	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the office holder with predecessor as Samuel W. McCall and office in Massachusetts House of Representatives?	346	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the office holder with predecessor as Samuel W. McCall and office in Massachusetts House of Representatives?	346	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the office holder with predecessor as Samuel W. McCall and office in Massachusetts House of Representatives?	346	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List down the schools whose mascot's order is Even-toed ungulate?	349	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List down the schools whose mascot's order is Even-toed ungulate?	349	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List down the schools whose mascot's order is Even-toed ungulate?	349	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
In which city is Corringham railway station located?	353	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where do the sister stations of Al Khaleejiya 100.9 play?	356	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where do the sister stations of Al Khaleejiya 100.9 play?	356	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where do the sister stations of Al Khaleejiya 100.9 play?	356	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where do the sister stations of Al Khaleejiya 100.9 play?	356	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which sports are played in schools affiliated with the Harvest Christian Center?	357	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which university was attended by both Richard H Immerman and Franklin W Olin?	368	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which university was attended by both Richard H Immerman and Franklin W Olin?	368	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name someone known for a project involved in the Occupation of Japan?	369	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name someone known for a project involved in the Occupation of Japan?	369	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name someone known for a project involved in the Occupation of Japan?	369	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What are Monrow Carell Jr Children Hospital and Vanderbilt University Medical Center both affiliated with?	370	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What are Monrow Carell Jr Children Hospital and Vanderbilt University Medical Center both affiliated with?	370	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What are Monrow Carell Jr Children Hospital and Vanderbilt University Medical Center both affiliated with?	370	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name all those whose spouses have performed with Tony Bennett?	376	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name all those whose spouses have performed with Tony Bennett?	376	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name all those whose spouses have performed with Tony Bennett?	376	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name all those whose spouses have performed with Tony Bennett?	376	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which office holder's governor is Charles Willing Byrd and has final resting place in North Bend, Ohio?	377	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which office holder's governor is Charles Willing Byrd and has final resting place in North Bend, Ohio?	377	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which office holder's governor is Charles Willing Byrd and has final resting place in North Bend, Ohio?	377	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which office holder's governor is Charles Willing Byrd and has final resting place in North Bend, Ohio?	377	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Give the distinct number of other party of the people which have one of the party as Janata Party?	382	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Give the distinct number of other party of the people which have one of the party as Janata Party?	382	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Give the distinct number of other party of the people which have one of the party as Janata Party?	382	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who designed the bridge in Oddamavadi?	388	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who designed the bridge in Oddamavadi?	388	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the office holder whose child is Lori Black and predecessor is Henry E Catto Jr?	394	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the office holder whose child is Lori Black and predecessor is Henry E Catto Jr?	394	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the office holder whose child is Lori Black and predecessor is Henry E Catto Jr?	394	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many golf players are there in Arizona State Sun Devils?	395	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many golf players are there in Arizona State Sun Devils?	395	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many golf players are there in Arizona State Sun Devils?	395	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which rivers start in Wyoming?	396	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which rivers start in Wyoming?	396	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which rivers start in Wyoming?	396	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What are the movies whose cinematographer is Gregg Toland?	413	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What are the movies whose cinematographer is Gregg Toland?	413	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the ingredient of Blodpalt?	419	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the ingredient of Blodpalt?	419	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who founded the city where First Church of Christ, Scientist is located?	423	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who founded the city where First Church of Christ, Scientist is located?	423	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who founded the city where First Church of Christ, Scientist is located?	423	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who founded the city where First Church of Christ, Scientist is located?	423	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who is the owner of the bank where Thomas Secunda works?	424	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who is the owner of the bank where Thomas Secunda works?	424	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What country had the title of 2001 Speedway Ekstraliga?	426	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What country had the title of 2001 Speedway Ekstraliga?	426	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the stadium of the teams which uses Nea Smyrni as one of the stadium?	431	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the stadium of the teams which uses Nea Smyrni as one of the stadium?	431	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the stadium of the teams which uses Nea Smyrni as one of the stadium?	431	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which fields are covered by academic journals in the US?	439	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which fields are covered by academic journals in the US?	439	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which fields are covered by academic journals in the US?	439	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which fields are covered by academic journals in the US?	439	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which shows are voiced by US citizens?	448	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which shows are voiced by US citizens?	448	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who has starred in the amusement park attractions where Jim Dooley was performing?	449	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who has starred in the amusement park attractions where Jim Dooley was performing?	449	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who has starred in the amusement park attractions where Jim Dooley was performing?	449	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who has starred in the amusement park attractions where Jim Dooley was performing?	449	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What region is governed by Mario Olivero?	452	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What region is governed by Mario Olivero?	452	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the battles fought by Ali Habib Mahmud?	455	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the battles fought by Ali Habib Mahmud?	455	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the battles fought by Ali Habib Mahmud?	455	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the largest city of the country which hosted the 1951 Asian Games?	467	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who gives the license of WXXV-DT2?	468	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who gives the license of WXXV-DT2?	468	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who gives the license of WXXV-DT2?	468	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who gives the license of WXXV-DT2?	468	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many other Guests are there of the television episodes whose Guests is Brian d'Arcy James?	478	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many other Guests are there of the television episodes whose Guests is Brian d'Arcy James?	478	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What are the cities located on the sea into which the Aegean Sea flows?	481	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What are the cities located on the sea into which the Aegean Sea flows?	481	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What are the cities located on the sea into which the Aegean Sea flows?	481	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the species of Southwest African lion?	489	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the species of Southwest African lion?	489	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where is the king buried whose predecessor was Iyasu II?	502	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the awards received of the person whose child is Daine Disney Miller?	506	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the awards received of the person whose child is Daine Disney Miller?	506	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who is the fictional character whose relative is Vestigial Peter?	512	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who is the fictional character whose relative is Vestigial Peter?	512	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who is the fictional character whose relative is Vestigial Peter?	512	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What company developed Mac OS 9 and also brought Tiny Tower to the market?	516	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the label of things produced by the band If?	519	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the label of things produced by the band If?	519	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
