Question ID	Question	ROBERTA_Prediction	ROBERTA_Model
Which parent organization of Get TV also owns the Galleria ?	214	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where did Goran Cengic die?	216	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which Fox show is presented by Ryan Seacrest?	230	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What railway lines go through the stations maintained by Western Australian Public Transport Authority?	233	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the major shrine of Jacques-Dsir Laval ?	236	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which predecessor of Alexander Downer was deputy to Neil Brown ?	241	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
To which series does the character of Londo Mollari belong?	244	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count all the scientologists.	245	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the birthplace of Liudmila Privivkova and Qadir Huseynov?	247	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Under which archipelago does Canary Islands fall?	251	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who are the politicians whose death place is Ontario?	254	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the affiliation of tani University?	270	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many TV shows have been created by Simon Fuller ?	273	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many people are known for Dragons' Den?	276	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Greater Napanee is the home town of what people?	284	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Is Bacillus belong to the domain Bacteria?	291	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
For which other teams do members of tanzanian national football team play?	297	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who are the major stockholders of the bank which is the company of Bloomberg Markets?	298	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many maintainers are there of the bridges that can carry motor vehicles over them?	299	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the place of birth of the stars of Auto Shankar ?	304	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the constituency of Domenico Modugno?	311	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the movies distributed by RKO Pictures and has music composer as Bernard Herrmann?	326	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the headquarters of the public transit system which is the section of Red Ahead ?	327	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
With whom is Heinz Kokott a relative to who also served Nazi Army?	331	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which television show's network is BBC HD and is related to Doctor Who Confidential?	334	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the office holder with predecessor as Samuel W. McCall and office in Massachusetts House of Representatives?	346	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List down the schools whose mascot's order is Even-toed ungulate?	349	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
In which city is Corringham railway station located?	353	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where do the sister stations of Al Khaleejiya 100.9 play?	356	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which sports are played in schools affiliated with the Harvest Christian Center?	357	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which university was attended by both Richard H Immerman and Franklin W Olin?	368	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name someone known for a project involved in the Occupation of Japan?	369	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What are Monrow Carell Jr Children Hospital and Vanderbilt University Medical Center both affiliated with?	370	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name all those whose spouses have performed with Tony Bennett?	376	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which office holder's governor is Charles Willing Byrd and has final resting place in North Bend, Ohio?	377	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Give the distinct number of other party of the people which have one of the party as Janata Party?	382	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who designed the bridge in Oddamavadi?	388	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the office holder whose child is Lori Black and predecessor is Henry E Catto Jr?	394	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many golf players are there in Arizona State Sun Devils?	395	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which rivers start in Wyoming?	396	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What are the movies whose cinematographer is Gregg Toland?	413	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the ingredient of Blodpalt?	419	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who founded the city where First Church of Christ, Scientist is located?	423	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who is the owner of the bank where Thomas Secunda works?	424	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What country had the title of 2001 Speedway Ekstraliga?	426	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the stadium of the teams which uses Nea Smyrni as one of the stadium?	431	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which fields are covered by academic journals in the US?	439	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which shows are voiced by US citizens?	448	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who has starred in the amusement park attractions where Jim Dooley was performing?	449	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What region is governed by Mario Olivero?	452	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the battles fought by Ali Habib Mahmud?	455	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the largest city of the country which hosted the 1951 Asian Games?	467	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who gives the license of WXXV-DT2?	468	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many other Guests are there of the television episodes whose Guests is Brian d'Arcy James?	478	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the species of Southwest African lion?	489	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where is the king buried whose predecessor was Iyasu II?	502	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the awards received of the person whose child is Daine Disney Miller?	506	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who is the fictional character whose relative is Vestigial Peter?	512	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What company developed Mac OS 9 and also brought Tiny Tower to the market?	516	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the label of things produced by the band If?	519	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count the total number of software whose programming language is C++ and operating system is Microsoft Windows?	533	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the movie written by Monty Python and distributed by Cinema International Corporation?	539	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the species of Liger?	546	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which boarder country of Korean Peninsula was the state of Sodagreen?	551	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the basketball team whose President's college is Brockport Golden Eagles?	571	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many cities are around the sea into which the aegean sea flows?	574	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which railway line goes through the stations which are a part of the North Caucasus railway?	576	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who are the people which ITV(TV network) has employed?	582	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What team did J P Paris was former team of Bert McCaffrey play for?	584	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the opponents of the relatives of Thomas Helwys?	586	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which relative of George Madison was the leader of United States House of Representatives elections, 1788 and 1789 ?	594	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the profession of Oamr D Conger for which Jack Ryan was also nominated?	599	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Does the Vadodara Railway station lie at the end of the Mathura Vadodara route?	601	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Give me all commanders which had an important role in both, the Battle of Fort Stephenson and Battle of the Thames?	603	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the scientist who was the winner of Royal Society award and had Georg Meissner as his doctoral advisor ?	605	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who is the commander of Battle of Brownstown?	606	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What religion's politicians are in the Malaysian Chinese association?	607	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the newspapers which has headquarters in Stockholm?	613	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Under whom did Charles Drummond Ellis do his PhD?	629	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which company is the parent company of Chevrolet Spark?	630	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who appointed the governor under whom Richard Winn works?	636	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the broadcast area of the TV stations which also serves in Agalga?	640	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which company owns the manufacturer of the Edsel Ranger?	642	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name a scientist whose official residence is Cape Town and also won a gold medal at the Royal Astronomical Society ?	644	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who are the former partners of the figure skaters whose performance have been choreographed by Catarina Lindgren in the past?	650	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who was in military unit which played the role of Air interdiction?	661	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the movies whose music composer is often associated with Jon and Vangelis.	664	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Marika Gombitov makes songs in which languages?	666	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Is Truth prevails the national motto of Czechoslovakia?	674	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who was the bronze medalist of Swimming at the 2008 Summer Olympics Men's 400 metre individual medley?	677	2	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which country's people work in the Birdman enterprises?	679	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which team of Dan Shamash is also the debut team of John Estes?	681	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many religions are followed by the people in the Royal Thai Army?	685	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What company made facebook messenger and is the platform where Words of Gold can be played?	686	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
In which cities can the beverage related to Barq's be found?	688	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
From which state do the White Plum Asangas come?	690	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the ceremonial county of East Tilbury?	691	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many people are there who have relationship with Kennedy family?	692	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many fictional characters were humans?	698	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where are INKAS located which is also the state of origin for Jojo Chintoh?	702	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many races have the horses bred by Jacques Van't Hart participated in?	705	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
In how many regions is English American spoken?	708	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which party does Iqbal Singh and B Shiva Rao currently belong to?	711	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Does Cascade Airways have a hub in Seattle?	716	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many services does the company who made Onedrive provide?	720	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the city served by Juhu Aerodrome?	726	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which races has the horse bred by Jacques Van't Hart participated in?	730	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Does Gibby Haynes play the saxophone?	733	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name all the bands which have members of QDT in them.	740	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which publisher of Stone Canoe is also the university for which Michael Powell plays for?	743	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Semani languages are spoken in which countries?	750	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the river whose source mountain is Baikal Mountains and mouth location is Arctic Ocean?	753	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which organisation has superintendent as Lieutenant general (United States)?	755	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What cities are nearer to Fuountain Lake Farm?	762	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count the total number of launch site of the rockets which have been launched form Cape Canaveral Air Force Station ?	763	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Was Cliff Burton in Metallica?	766	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which governer of Winston Bryant is the president of Joseph Stiglitz?	775	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
In which city is the distributor of Jeevan Mrityu located?	776	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who has written the mary poppins musical?	783	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the origin of Henry Cluney?	794	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which offices were held by the politicians who held their allegiance to the union of american civil war?	801	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which awards did the narrator of Oscar and Lucinda win?	802	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What are some movies written by British writers?	813	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Henry McDaniel's trained horses have won which awards?	817	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List down the important people of The Elders?	819	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the television show whose executive producer is Douglas Netter?	827	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Is Joe Schilling the trainer of Nick Diaz?	833	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the sport league of Hampton Roads Rhinos?	850	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What novels belong to the genre of Utopian and dystopian fiction?	851	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which people are known for appearing on the television show Dragon's Den?	855	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the political party of the Bengalis?	869	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Was Writings and Drawings illustrated by Bob Dylan?	871	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who are the characters of Batman Live?	875	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many different kinds of games are published by Interplay Entertainment?	879	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the draft team of Gene Conley?	886	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which are the countires where Pioneer Corporation has flourished?	901	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which city do both Arthur Ross and Edward Niesen come from?	905	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who is married to Tony Ramo?	906	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which county of Tremont Avenue is also the birht place of Ron Galotti?	907	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the number of occupation of the people who died in Tampa, Florida?	918	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Whose theme music was composed by a band which collaborated with Phish?	919	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which animator of the The Skeleton Dance is also the cinematographer of the Mickey's Mellerdrammer?	925	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which television show is the subsequent work of Frasier and the opening theme is Gary Portnoy?	929	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count all the games whose distributors are located in America.	933	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is that something which made Breann McGregor famous, and Frank Thorne received as an award?	934	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which builder of Ford Straight-6 engine is also the automobile platform provider of Chiva bus?	935	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What are the nicknames of the people who are in Ekstraliga?	939	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many states does the Pioneer corporation operate in?	949	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many people are there whose children died in Indiana?	951	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which mountain range is the one with Ponte d'Aveneyre and Le Gibloux?	952	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
In which team was the person drafted who has studied at the Worcester college, Oxford?	954	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the type of Naval Station Bremerton?	957	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who is the President of United World College of Costa Rica?	963	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the major shrine of the monarchs whose successor is Dragimir of Travunia and Zachlumia?	966	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who is the founder of European School, Karlsruhe?	972	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Erik Jendresen is the writer of which television show?	977	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who is the editor of Hearth and Home?	978	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Mike Shinoda is in which band?	979	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which associated band of the Teddy Riley is also the performer of the Before I Let You Go?	983	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List all the doctoral student of the scientist who has advised John Bowlby?	984	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Is Peter Piper Pizza in the pizza industry?	987	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the religion of the person who founded the Emel magazine?	989	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What organisations purpose is Peace?	993	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where are the headquarters of Metro Transit (Minnesota)?	995	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Did Oliver Sacks study at the Columbia University?	1003	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who is the developer of the software which serves the platform for King's Quest VI?	1011	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Give me the count of all people who ascended a peak in California?	1018	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the official residence of the Helen Getachew which is also the palce of death of the Haile Selassie Gugsa?	1020	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What's the religion of the winner of china election of 2008?	1023	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which wars were fought by the commander whose deputy was Robert T. Herres?	1038	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which nationality of Newin Chidchob is also the nationality of Ajahn Sao Kantaslo?	1050	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Was the altazor drawn by Picasso?	1053	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
In how many languages did Marika Gombitova sing?	1056	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What are the track and field events of Jamiatu Muslim Mindanao?	1059	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which administrative headquarters of the Pulau Ubin is also the resting place of the Nicole Lai?	1063	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many home stadium are there, of the soccer club seasons whose chairman is Merritt Paulson?	1081	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who owns the newspaper which was founded by Nehru?	1086	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
In which region was political figure Wayne Allard elected?	1088	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who is the author of Karakuri Dji Ultimo?	1092	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count the participants of the NBA.	1104	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the species of Panthera leo fossilis?	1114	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What are the regions served by Toll Global Express which is also the country of LPGA?	1122	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who is the common prime minster of William Deaner and Mark Latham?	1127	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the genre of the Band whose home town is County Westmeath?	1128	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the successor of the governors whose child is Levi Lincoln, Jr.?	1130	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Does Lousana lie at the end of Alberta Highway 42?	1138	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which president of the United States had vice president as John Adams?	1139	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Give me a count of movies whose producer is Larry J. Franco?	1143	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where does Dennis DeConcini and Scott Berkun both live?	1149	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where does John A Danaher III work?	1150	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Whose commanders are Colin Powell and Jaber Al-Ahmad Al-Sabah?	1152	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who is the person whose home town is Fairmount, Indiana?	1154	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the shows whose company's successor is Amblin Television.	1157	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count the total number of battles fought by the military people which fought in Levant?	1158	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which genre of books does the writer of The Many Hands write?	1161	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the television show whose opening theme is Te Deum (Charpentier)?	1165	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the total number of participants in the conflict of SFOR and other conflicts?	1166	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
From how many different places have people gone to the Harward Medical School?	1167	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the river passing through Reading Berkshire and has mouth place at Essex?	1168	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the total number of executive producer of TV show which have one of the executiive producer as Steven Moffat ?	1173	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the nation of the Major All Stars Season 1 and Pioneer Corporation ?	1174	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Companies headquartered in Geneva own which TV Shows?	1183	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who owns the schools which have a penguin as its mascot?	1184	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the total number of relgions followed by people born in Bangkok?	1186	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the product of the BBC Multimedia and series of the The Last Resort (Doctor Who)?	1189	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What are the home stadiums of the things Leonid Fedun has been the chairman of?	1193	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Of what all has David Ian Salter been an editor of?	1196	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the place of death of the royalties one of whose parents was Adam Ludwik Czartoryski?	1204	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which bacteria's taxonomic class is Bacilli?	1214	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Is the magnolia place of the greek revival architectural style?	1216	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
The software with Mac OS as operating system and C++ as programming language are [answer].	1225	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the Recorded of the Kaptaan is also the headquarters of the Orient News?	1231	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
